Entity,Code,Year,Population (historical estimates)
Africa,,1849,111156406
Africa,,1850,112295370
Africa,,1851,112843149
Africa,,1852,113379285
Africa,,1853,113793047
Africa,,1854,114216849
Africa,,1855,114631842
Africa,,1856,115057009
Africa,,1857,115486119
Africa,,1858,115919245
Africa,,1859,116365125
Africa,,1860,116988636
Africa,,1861,117301876
Africa,,1862,117778853
Africa,,1863,118275288
Africa,,1864,118775558
Africa,,1865,119279686
Africa,,1866,119787704
Africa,,1867,120299649
Africa,,1868,120815545
Africa,,1869,121347692
Africa,,1870,122079985
Africa,,1871,122466078
Africa,,1872,123041990
Africa,,1873,123641171
Africa,,1874,124245323
Africa,,1875,124854484
Africa,,1876,125468701
Africa,,1877,126088007
Africa,,1878,126712451
Africa,,1879,127352247
Africa,,1880,128189317
Africa,,1881,128683453
Africa,,1882,129364909
Africa,,1883,130067281
Africa,,1884,130775459
Africa,,1885,131489484
Africa,,1886,132209404
Africa,,1887,132935290
Africa,,1888,133667182
Africa,,1889,134316240
Africa,,1890,135050718
Africa,,1891,135370390
Africa,,1892,135768025
Africa,,1893,136087369
Africa,,1894,136413556
Africa,,1895,136746634
Africa,,1896,137086659
Africa,,1897,137433669
Africa,,1898,137787711
Africa,,1899,138168883
Africa,,1900,138752199
Africa,,1901,139021447
Africa,,1902,139489077
Africa,,1903,139992790
Africa,,1904,140510536
Africa,,1905,141042447
Africa,,1906,141588654
Africa,,1907,142149308
Africa,,1908,142724535
Africa,,1909,143305202
Africa,,1910,144064903
Africa,,1911,144480832
Africa,,1912,145067004
Africa,,1913,145657208
Africa,,1914,146256012
Africa,,1915,146863516
Africa,,1916,147479796
Africa,,1917,148104957
Africa,,1918,148713464
Africa,,1919,149572638
Africa,,1920,150861520
Africa,,1921,152062212
Africa,,1922,153693154
Africa,,1923,155594335
Africa,,1924,157523780
Africa,,1925,159481926
Africa,,1926,161469210
Africa,,1927,163486087
Africa,,1928,165533025
Africa,,1929,167612506
Africa,,1930,169924067
Africa,,1931,171875191
Africa,,1932,174050964
Africa,,1933,176265430
Africa,,1934,178512860
Africa,,1935,180793768
Africa,,1936,183108678
Africa,,1937,185458104
Africa,,1938,187842584
Africa,,1939,190381812
Africa,,1940,193306256
Africa,,1941,195943401
Africa,,1942,198975492
Africa,,1943,202181814
Africa,,1944,205448384
Africa,,1945,208776384
Africa,,1946,212172008
Africa,,1947,215621479
Africa,,1948,219141050
Africa,,1949,223001287
Africa,,1950,227549730
Africa,,1951,232484439
Africa,,1952,237586485
Africa,,1953,242837870
Africa,,1954,248245229
Africa,,1955,253848117
Africa,,1956,259631766
Africa,,1957,265515596
Africa,,1958,271429963
Africa,,1959,277648583
Africa,,1960,284288223
Africa,,1961,291177974
Africa,,1962,298334455
Africa,,1963,305755585
Africa,,1964,313466087
Africa,,1965,321447378
Africa,,1966,329658389
Africa,,1967,338159967
Africa,,1968,346980412
Africa,,1969,356070643
Africa,,1970,365450443
Africa,,1971,375086296
Africa,,1972,384930776
Africa,,1973,395212420
Africa,,1974,406069208
Africa,,1975,417556976
Africa,,1976,429573262
Africa,,1977,441701768
Africa,,1978,454463053
Africa,,1979,467976240
Africa,,1980,481543145
Africa,,1981,495655683
Africa,,1982,510540596
Africa,,1983,525335348
Africa,,1984,540183119
Africa,,1985,555652995
Africa,,1986,571646786
Africa,,1987,588080029
Africa,,1988,604511530
Africa,,1989,621167964
Africa,,1990,638157571
Africa,,1991,655040869
Africa,,1992,671931834
Africa,,1993,689140286
Africa,,1994,706488557
Africa,,1995,724331972
Africa,,1996,742765067
Africa,,1997,761224818
Africa,,1998,779908311
Africa,,1999,799099611
Africa,,2000,818952374
Africa,,2001,839464127
Africa,,2002,860611762
Africa,,2003,882349569
Africa,,2004,904781595
Africa,,2005,927898412
Africa,,2006,951740562
Africa,,2007,976461747
Africa,,2008,1001981577
Africa,,2009,1028200528
Africa,,2010,1055233717
Africa,,2011,1082676070
Africa,,2012,1110797495
Africa,,2013,1140180888
Africa,,2014,1170299297
Africa,,2015,1201108186
Africa,,2016,1232111820
Africa,,2017,1263333997
Africa,,2018,1295265310
Africa,,2019,1327701380
Africa,,2020,1360677453
Africa,,2021,1393676724
Africa (UN),,1950,227549264
Africa (UN),,1951,232484000
Africa (UN),,1952,237586064
Africa (UN),,1953,242837440
Africa (UN),,1954,248244768
Africa (UN),,1955,253847728
Africa (UN),,1956,259631392
Africa (UN),,1957,265515232
Africa (UN),,1958,271429568
Africa (UN),,1959,277648192
Africa (UN),,1960,284287840
Africa (UN),,1961,291177568
Africa (UN),,1962,298334048
Africa (UN),,1963,305755232
Africa (UN),,1964,313465696
Africa (UN),,1965,321446976
Africa (UN),,1966,329658048
Africa (UN),,1967,338159584
Africa (UN),,1968,346980000
Africa (UN),,1969,356070240
Africa (UN),,1970,365450112
Africa (UN),,1971,375085856
Africa (UN),,1972,384930400
Africa (UN),,1973,395212032
Africa (UN),,1974,406068832
Africa (UN),,1975,417556640
Africa (UN),,1976,429572928
Africa (UN),,1977,441701408
Africa (UN),,1978,454462688
Africa (UN),,1979,467975872
Africa (UN),,1980,481542784
Africa (UN),,1981,495655328
Africa (UN),,1982,510540224
Africa (UN),,1983,525335040
Africa (UN),,1984,540182784
Africa (UN),,1985,555652608
Africa (UN),,1986,571646400
Africa (UN),,1987,588079680
Africa (UN),,1988,604511232
Africa (UN),,1989,621167616
Africa (UN),,1990,638157248
Africa (UN),,1991,655040512
Africa (UN),,1992,671931520
Africa (UN),,1993,689139968
Africa (UN),,1994,706488256
Africa (UN),,1995,724331648
Africa (UN),,1996,742764736
Africa (UN),,1997,761224448
Africa (UN),,1998,779908032
Africa (UN),,1999,799099328
Africa (UN),,2000,818952064
Africa (UN),,2001,839463872
Africa (UN),,2002,860611456
Africa (UN),,2003,882349248
Africa (UN),,2004,904781312
Africa (UN),,2005,927898112
Africa (UN),,2006,951740288
Africa (UN),,2007,976461440
Africa (UN),,2008,1001981312
Africa (UN),,2009,1028200256
Africa (UN),,2010,1055233408
Africa (UN),,2011,1082675840
Africa (UN),,2012,1110797184
Africa (UN),,2013,1140180608
Africa (UN),,2014,1170299008
Africa (UN),,2015,1201107968
Africa (UN),,2016,1232111616
Africa (UN),,2017,1263333760
Africa (UN),,2018,1295265024
Africa (UN),,2019,1327701120
Africa (UN),,2020,1360677248
Africa (UN),,2021,1393676416
Akrotiri and Dhekelia,OWID_AKD,1800,3710
Akrotiri and Dhekelia,OWID_AKD,2005,15700
Akrotiri and Dhekelia,OWID_AKD,2008,15700
Albania,ALB,-10000,1199
Albania,ALB,-9000,1999
Albania,ALB,-8000,3332
Albania,ALB,-7000,5554
Albania,ALB,-6000,9256
Albania,ALB,-5000,15428
Albania,ALB,-4000,25713
Albania,ALB,-3000,42855
Albania,ALB,-2000,71426
Albania,ALB,-1000,119043
Albania,ALB,0,198405
Albania,ALB,100,198604
Albania,ALB,200,198803
Albania,ALB,300,199001
Albania,ALB,400,199201
Albania,ALB,500,199400
Albania,ALB,600,199600
Albania,ALB,700,199799
Albania,ALB,800,200000
Albania,ALB,900,200000
Albania,ALB,1000,200000
Albania,ALB,1100,200000
Albania,ALB,1200,200000
Albania,ALB,1300,200000
Albania,ALB,1400,200000
Albania,ALB,1500,200000
Albania,ALB,1600,200000
Albania,ALB,1700,299999
Albania,ALB,1710,311416
Albania,ALB,1720,322833
Albania,ALB,1730,334250
Albania,ALB,1740,345666
Albania,ALB,1750,357083
Albania,ALB,1760,368499
Albania,ALB,1770,379916
Albania,ALB,1780,391333
Albania,ALB,1790,402750
Albania,ALB,1800,400000
Albania,ALB,1801,401773
Albania,ALB,1802,403554
Albania,ALB,1803,405343
Albania,ALB,1804,407140
Albania,ALB,1805,408945
Albania,ALB,1806,410758
Albania,ALB,1807,412579
Albania,ALB,1808,414408
Albania,ALB,1809,416246
Albania,ALB,1810,418099
Albania,ALB,1811,419953
Albania,ALB,1812,421814
Albania,ALB,1813,423684
Albania,ALB,1814,425563
Albania,ALB,1815,427449
Albania,ALB,1816,429344
Albania,ALB,1817,431248
Albania,ALB,1818,433159
Albania,ALB,1819,435086
Albania,ALB,1820,437026
Albania,ALB,1821,438981
Albania,ALB,1822,440950
Albania,ALB,1823,442934
Albania,ALB,1824,444927
Albania,ALB,1825,446929
Albania,ALB,1826,448940
Albania,ALB,1827,450959
Albania,ALB,1828,452988
Albania,ALB,1829,455027
Albania,ALB,1830,457074
Albania,ALB,1831,459130
Albania,ALB,1832,461196
Albania,ALB,1833,463271
Albania,ALB,1834,465356
Albania,ALB,1835,467449
Albania,ALB,1836,469552
Albania,ALB,1837,471665
Albania,ALB,1838,473787
Albania,ALB,1839,475919
Albania,ALB,1840,478060
Albania,ALB,1841,480211
Albania,ALB,1842,482372
Albania,ALB,1843,484542
Albania,ALB,1844,486722
Albania,ALB,1845,488912
Albania,ALB,1846,491112
Albania,ALB,1847,493321
Albania,ALB,1848,495541
Albania,ALB,1849,498261
Albania,ALB,1850,501490
Albania,ALB,1851,505313
Albania,ALB,1852,509659
Albania,ALB,1853,514536
Albania,ALB,1854,519460
Albania,ALB,1855,524430
Albania,ALB,1856,529449
Albania,ALB,1857,534515
Albania,ALB,1858,539629
Albania,ALB,1859,544793
Albania,ALB,1860,550006
Albania,ALB,1861,555269
Albania,ALB,1862,560582
Albania,ALB,1863,565946
Albania,ALB,1864,571361
Albania,ALB,1865,576828
Albania,ALB,1866,582348
Albania,ALB,1867,587920
Albania,ALB,1868,593546
Albania,ALB,1869,599215
Albania,ALB,1870,604928
Albania,ALB,1871,610685
Albania,ALB,1872,616487
Albania,ALB,1873,622333
Albania,ALB,1874,628235
Albania,ALB,1875,634193
Albania,ALB,1876,640208
Albania,ALB,1877,646279
Albania,ALB,1878,652408
Albania,ALB,1879,658596
Albania,ALB,1880,664842
Albania,ALB,1881,671147
Albania,ALB,1882,677511
Albania,ALB,1883,683937
Albania,ALB,1884,690423
Albania,ALB,1885,696970
Albania,ALB,1886,703580
Albania,ALB,1887,710252
Albania,ALB,1888,716988
Albania,ALB,1889,723850
Albania,ALB,1890,730840
Albania,ALB,1891,737961
Albania,ALB,1892,745214
Albania,ALB,1893,752600
Albania,ALB,1894,760060
Albania,ALB,1895,767593
Albania,ALB,1896,775202
Albania,ALB,1897,782885
Albania,ALB,1898,790645
Albania,ALB,1899,798342
Albania,ALB,1900,805974
Albania,ALB,1901,813539
Albania,ALB,1902,821036
Albania,ALB,1903,828461
Albania,ALB,1904,835954
Albania,ALB,1905,843514
Albania,ALB,1906,851143
Albania,ALB,1907,858841
Albania,ALB,1908,866609
Albania,ALB,1909,874016
Albania,ALB,1910,881057
Albania,ALB,1911,887724
Albania,ALB,1912,894013
Albania,ALB,1913,899917
Albania,ALB,1914,905859
Albania,ALB,1915,911841
Albania,ALB,1916,917862
Albania,ALB,1917,923923
Albania,ALB,1918,929879
Albania,ALB,1919,935646
Albania,ALB,1920,941221
Albania,ALB,1921,946603
Albania,ALB,1922,951788
Albania,ALB,1923,956775
Albania,ALB,1924,961788
Albania,ALB,1925,966828
Albania,ALB,1926,971893
Albania,ALB,1927,976986
Albania,ALB,1928,982104
Albania,ALB,1929,988255
Albania,ALB,1930,995454
Albania,ALB,1931,1003716
Albania,ALB,1932,1013057
Albania,ALB,1933,1023495
Albania,ALB,1934,1034040
Albania,ALB,1935,1044694
Albania,ALB,1936,1055458
Albania,ALB,1937,1066333
Albania,ALB,1938,1077319
Albania,ALB,1939,1088816
Albania,ALB,1940,1100833
Albania,ALB,1941,1113381
Albania,ALB,1942,1126469
Albania,ALB,1943,1140109
Albania,ALB,1944,1153914
Albania,ALB,1945,1167887
Albania,ALB,1946,1182028
Albania,ALB,1947,1196341
Albania,ALB,1948,1210827
Albania,ALB,1949,1229519
Albania,ALB,1950,1252587
Albania,ALB,1951,1289175
Albania,ALB,1952,1326957
Albania,ALB,1953,1366747
Albania,ALB,1954,1409011
Albania,ALB,1955,1453732
Albania,ALB,1956,1500625
Albania,ALB,1957,1549575
Albania,ALB,1958,1600986
Albania,ALB,1959,1655022
Albania,ALB,1960,1711189
Albania,ALB,1961,1769076
Albania,ALB,1962,1828234
Albania,ALB,1963,1888302
Albania,ALB,1964,1949020
Albania,ALB,1965,2009793
Albania,ALB,1966,2070694
Albania,ALB,1967,2132447
Albania,ALB,1968,2195474
Albania,ALB,1969,2259797
Albania,ALB,1970,2324733
Albania,ALB,1971,2389820
Albania,ALB,1972,2455181
Albania,ALB,1973,2520442
Albania,ALB,1974,2585457
Albania,ALB,1975,2650128
Albania,ALB,1976,2713564
Albania,ALB,1977,2774798
Albania,ALB,1978,2833317
Albania,ALB,1979,2888764
Albania,ALB,1980,2941650
Albania,ALB,1981,2992391
Albania,ALB,1982,3041188
Albania,ALB,1983,3087904
Albania,ALB,1984,3131731
Albania,ALB,1985,3171727
Albania,ALB,1986,3207129
Albania,ALB,1987,3237677
Albania,ALB,1988,3263019
Albania,ALB,1989,3282187
Albania,ALB,1990,3295073
Albania,ALB,1991,3302087
Albania,ALB,1992,3303738
Albania,ALB,1993,3300715
Albania,ALB,1994,3294001
Albania,ALB,1995,3284370
Albania,ALB,1996,3271336
Albania,ALB,1997,3253721
Albania,ALB,1998,3232185
Albania,ALB,1999,3208265
Albania,ALB,2000,3182027
Albania,ALB,2001,3153615
Albania,ALB,2002,3123554
Albania,ALB,2003,3092993
Albania,ALB,2004,3062629
Albania,ALB,2005,3032636
Albania,ALB,2006,3003391
Albania,ALB,2007,2976089
Albania,ALB,2008,2951690
Albania,ALB,2009,2930553
Albania,ALB,2010,2913402
Albania,ALB,2011,2900660
Albania,ALB,2012,2892191
Albania,ALB,2013,2887019
Albania,ALB,2014,2884100
Albania,ALB,2015,2882482
Albania,ALB,2016,2881064
Albania,ALB,2017,2879361
Albania,ALB,2018,2877019
Albania,ALB,2019,2873883
Albania,ALB,2020,2866850
Albania,ALB,2021,2854710
Algeria,DZA,-10000,12090
Algeria,DZA,-9000,20150
Algeria,DZA,-8000,33583
Algeria,DZA,-7000,55973
Algeria,DZA,-6000,93289
Algeria,DZA,-5000,155482
Algeria,DZA,-4000,259136
Algeria,DZA,-3000,431893
Algeria,DZA,-2000,719821
Algeria,DZA,-1000,1199705
Algeria,DZA,0,1999499
Algeria,DZA,100,1959348
Algeria,DZA,200,1920009
Algeria,DZA,300,1881450
Algeria,DZA,400,1843681
Algeria,DZA,500,1806646
Algeria,DZA,600,1770375
Algeria,DZA,700,1734824
Algeria,DZA,800,1699986
Algeria,DZA,900,1849979
Algeria,DZA,1000,1999986
Algeria,DZA,1100,1949984
Algeria,DZA,1200,1899989
Algeria,DZA,1300,1684987
Algeria,DZA,1400,1469993
Algeria,DZA,1500,1499995
Algeria,DZA,1600,2250000
Algeria,DZA,1700,1749990
Algeria,DZA,1710,1828235
Algeria,DZA,1720,1906492
Algeria,DZA,1730,1984751
Algeria,DZA,1740,2063002
Algeria,DZA,1750,2141252
Algeria,DZA,1760,2219494
Algeria,DZA,1770,2297738
Algeria,DZA,1780,2375996
Algeria,DZA,1790,2454244
Algeria,DZA,1800,2500000
Algeria,DZA,1801,2509126
Algeria,DZA,1802,2518286
Algeria,DZA,1803,2527479
Algeria,DZA,1804,2536706
Algeria,DZA,1805,2545967
Algeria,DZA,1806,2555261
Algeria,DZA,1807,2564589
Algeria,DZA,1808,2573951
Algeria,DZA,1809,2583348
Algeria,DZA,1810,2592813
Algeria,DZA,1811,2602278
Algeria,DZA,1812,2611778
Algeria,DZA,1813,2621312
Algeria,DZA,1814,2630882
Algeria,DZA,1815,2640486
Algeria,DZA,1816,2650125
Algeria,DZA,1817,2659800
Algeria,DZA,1818,2669510
Algeria,DZA,1819,2678262
Algeria,DZA,1820,2686052
Algeria,DZA,1821,2692874
Algeria,DZA,1822,2698723
Algeria,DZA,1823,2703593
Algeria,DZA,1824,2708472
Algeria,DZA,1825,2713360
Algeria,DZA,1826,2718256
Algeria,DZA,1827,2723162
Algeria,DZA,1828,2728076
Algeria,DZA,1829,2732999
Algeria,DZA,1830,2737931
Algeria,DZA,1831,2742872
Algeria,DZA,1832,2747822
Algeria,DZA,1833,2752781
Algeria,DZA,1834,2757748
Algeria,DZA,1835,2762725
Algeria,DZA,1836,2767711
Algeria,DZA,1837,2772705
Algeria,DZA,1838,2777709
Algeria,DZA,1839,2782722
Algeria,DZA,1840,2787744
Algeria,DZA,1841,2792774
Algeria,DZA,1842,2797814
Algeria,DZA,1843,2802863
